Abril                   6 Violin Partitas
Adams                   My Father Knew Charles Ives
Adams                   The Dharma at Big Sur
Albinoni                Adagio in G minor
Bach                    Brandenburg Concertos, BWV 1046-1051
Bach                    Cello Suites, BWV 1007-1012
Bach                    Concerto for Two Violins in D minor, BWV 1043
Bach                    Concerto for Violin and Oboe in C minor, BWV 1060R
Bach                    Die Kunst der Fuge, BWV 1080
Bach                    Double Harpsichord Concerto in C minor, BWV 1060
Bach                    Double Violin Concerto in D minor, BWV 1043
Bach                    English Suites, BWV 806-811
Bach                    Goldberg Variations, BWV 988
Bach                    Mass in B minor, BWV 232
Bach                    Orchestral Suites, BWV 1066-1069
Bach                    Partita for Keyboard No. 2 in C minor, BWV 826
Bach                    Sonata No. 3 in E major for Violin and Harpsichord, BWV 1016
Bach                    Sonata No. 4 in C minor for Violin and Harpsichord, BWV 1017
Bach                    Toccata in C minor, BWV 911
Bach                    Violin Concerto in A minor, BWV 1041
Bach                    Violin Concerto in E major, BWV 1042
Bach                    Violin Partita No. 1 in B minor, BWV 1002
Bach                    Violin Partita No. 2 in D minor, BWV 1004
Bach                    Violin Partita No. 3 in E major, BWV 1006
Bach                    Violin Sonata No. 1 in G minor, BWV 1001
Bach                    Violin Sonata No. 2 in A minor, BWV 1003
Bach                    Violin Sonata No. 3 in C major, BWV 1005
Barber                  Violin Concerto, Op. 14
Bartók                  Piano Concerto No. 3, BB 127
Bartók                  Rhapsody No. 1 for Violin and Orchestra, BB 94
Bartók                  Rhapsody No. 2 for Violin and Orchestra, BB 96
Bartók                  String Quartets Nos. 1-6, BB 52/75/93/95/110/119
Bartók                  Violin Concerto No. 1, BB 48a
Bartók                  Violin Concerto No. 2, BB 117
Beethoven               Piano Concerto No. 1 in C major, Op. 15
Beethoven               Piano Concerto No. 2 in B flat major, Op. 19
Beethoven               Piano Sonatas
Beethoven               Piano Trio No. 1 in E flat major, Op. 1/1
Beethoven               Piano Trio No. 2 in G major, Op. 1/2
Beethoven               Piano Trio No. 3 in C minor, Op. 1/3
Beethoven               Piano Trio No. 5 in D major, Op. 70/1, "Ghost"
Beethoven               Piano Trio No. 6 in E flat major, Op. 70/2
Beethoven               Piano Trio No. 7 in B flat major, Op. 97, "Archduke"
Beethoven               String Quartets Nos. 11, 12, 13, 14, 15, 16
Beethoven               Symphony No. 1 in C major, Op. 21
Beethoven               Symphony No. 2 in D major, Op. 36
Beethoven               Symphony No. 3 in Eb major, Op. 55, "Eroica/Heroic"
Beethoven               Symphony No. 4 in Bb major, Op. 60
Beethoven               Symphony No. 5 in C minor, Op. 67, "Schicksals/Fate"
Beethoven               Symphony No. 6 in F major, Op. 68, "Pastoral"
Beethoven               Symphony No. 7 in A major, Op. 92
Beethoven               Symphony No. 8 in F major, Op. 93
Beethoven               Symphony No. 9 in D minor, Op. 125
Beethoven               Triple Concerto in C major, Op. 56
Beethoven               Violin Concerto in D major, Op. 61
Beethoven               Violin Sonata No. 10 in G major, Op. 96
Beethoven               Violin Sonata No. 9 in A major, Op. 47, "Kreutzer"
Berg                    Violin Concerto, "To the memory of an angel"
Bernstein               Serenade, after Plato's Symposium
Boulez                  Sur incises
Brahms                  2 Rhapsodies, Op. 79
Brahms                  A German Requiem, Op. 45
Brahms                  Ballades, Op. 10
Brahms                  Double Concerto in A minor, Op. 102
Brahms                  Fantasien, Op. 116
Brahms                  Piano Concerto No. 1 in D minor, Op. 15
Brahms                  Piano Concerto No. 1 in D minor, Op. 15
Brahms                  Piano Concerto No. 2 in B flat major, Op. 83
Brahms                  Piano Quartet No. 1 in G minor, Op. 25
Brahms                  Symphony No. 1 in C minor, Op. 68
Brahms                  Symphony No. 3 in F major, Op. 90
Brahms                  Symphony No. 4 in E minor, Op. 98
Brahms                  Violin Concerto in D major, Op. 77
Brahms                  Violin Sonata No. 1 in G major, Op. 78
Brahms                  Violin Sonata No. 2 in A major, Op. 100
Brahms                  Violin Sonata No. 3 in D minor, Op. 108
Bruch                   Violin Concerto No. 1 in G minor, Op. 26
Bruckner                Symphony No. 7 in E major, WAB 107
Bruckner                Symphony No. 9 in D minor, WAB 109
Chopin                  Ballades, Opp. 23/38/47/52
Chopin                  Mazurkas, Opp. 59 (incomplete)
Chopin                  Nocturnes, Opp. 9/15/27/32/37/48/55/62/ph72/ph/ph
Chopin                  Piano Concerto No. 1 in E minor, Op. 11
Chopin                  Piano Concerto No. 2 in F minor, Op. 21
Chopin                  Piano Sonata No. 2 in B flat minor, Op. 35
Chopin                  Piano Sonata No. 3 in B minor, Op. 58
Chopin                  Polonaises, Opp. 26/40/44/53/61
Chopin                  Préludes, Opp. 28/45/ph
Chopin                  Études, Opp. 10/25
Copland                 Appalachian Spring
Copland                 Billy the Kid
Copland                 Rodeo
Corelli                 Concerti grossi, Op. 6
Debussy                 Children's Corner, CD 119
Debussy                 Images I, CD 105
Debussy                 Images II, CD 120
Dvorak                  Cello Concerto in B minor, Op. 104
Dvorak                  Symphony No. 9 in E minor, Op. 95, B. 178, "From the New World"
Elgar                   Cello Concerto in E minor, Op. 85
Elgar                   Sea Pictures, Op. 37
Elgar                   Violin Concerto in B minor, Op. 61
Glazunov                Violin Concerto in A minor, Op. 82
Haydn                   Keyboard Concerto No. 11 in D major, Hob. XVIII:11
Haydn                   Piano Concerto No. 1 in C minor, Op. 35
Higdon                  Violin Concerto
Holmboe                 Symphony No. 1 for Chamber Orchestra, Op. 4
Holmboe                 Symphony No. 10, Op. 105
Holmboe                 Symphony No. 3, "Sinfonia rustica", Op. 25
Händel                  Concerti grossi, Op. 6
Ives                    Violin Sonata No. 1, S. 60 / K. 2C4
Ives                    Violin Sonata No. 2, S. 61 / K. 2C5
Ives                    Violin Sonata No. 3, S. 62 / K. 2C6
